uuid,name,dob,sex,job_id,num_course_taken,current_career_path_id,time_spent_hrs,age,street,city,state,post_code,email,career_path_id,career_path_name,hours_to_complete,job_category,avg_salary
1,Annabelle Avery,1943-07-03,F,7.0,6.0,1.0,4.99,81,303 N Timber Key,Irondale,Wisconsin,84736,annabelle_avery9376@woohoo.com,1,data scientist,20,HR,80000
2,Micah Rubio,1991-02-07,M,7.0,5.0,8.0,4.4,33,767 Crescent Fair,Shoals,Indiana,37439,rubio6772@hmail.com,8,android developer,27,HR,80000
3,Hosea Dale,1989-12-07,M,7.0,8.0,8.0,6.74,34,P.O. Box 41269,St. Bonaventure,Virginia,83637,hosea_dale8084@coldmail.com,8,android developer,27,HR,80000
4,Mariann Kirk,1988-07-31,F,6.0,7.0,9.0,12.31,36,517 SE Wintergreen Isle,Lane,Arkansas,82242,kirk4005@hmail.com,9,machine learning engineer,35,education,61000
5,Lucio Alexander,1963-08-31,M,7.0,14.0,3.0,5.64,61,18 Cinder Cliff,Doyles borough,Rhode Island,73737,alexander9810@hmail.com,3,data analyst,12,HR,80000
6,Shavonda Mcmahon,1989-10-15,F,6.0,10.0,3.0,10.12,35,P.O. Box 81591,Tarpon Springs,Montana,37057,shavonda5863@coldmail.com,3,data analyst,12,education,61000
7,Terrell Bleijenberg,1959-05-05,M,2.0,9.0,8.0,24.17,65,P.O. Box 53471,Oskaloosa,Virginia,85274,bleijenberg188@hmail.com,8,android developer,27,engineer,101000
8,Stanford Allan,1997-11-22,M,3.0,3.0,1.0,19.54,26,255 Spring Avenue,Point Baker,Texas,15796,stanford_allan8055@coldmail.com,1,data scientist,20,software developer,110000
9,Tricia Delacruz,1961-10-20,F,1.0,6.0,9.0,1.75,63,997 Dewy Apple,Lake Lindsey,Washington,78266,tricia_delacruz6622@woohoo.com,9,machine learning engineer,35,analytics,86000
10,Regenia van der Helm,1999-02-23,N,5.0,7.0,6.0,13.55,25,220 Middle Ridge,Falcon Heights,New Mexico,46971,regenia6908@inlook.com,6,frontend engineer,20,financial services,135000
11,Shonda Stephanin,1998-10-24,F,7.0,5.0,10.0,12.61,26,818 Clear Street,Rockwood,Maine,14372,shonda_stephanin4439@coldmail.com,10,ux/ui designer,15,HR,80000
12,Marcus Mcfarland,1977-05-29,M,7.0,3.0,6.0,9.12,47,718 Embers Lane,Dale,South Carolina,19186,mcfarland1396@woohoo.com,6,frontend engineer,20,HR,80000
13,Edwardo Boonzayer,1975-05-23,N,2.0,15.0,5.0,6.09,49,147 SW Plain,Solana Beach,Kansas,01794,edwardo8281@inlook.com,5,backend engineer,18,engineer,101000
